@relation 'MLC'

@attribute F1_VAR_on_ACC_X numeric
@attribute F2_VAR_on_ACC_Y numeric
@attribute F3_VAR_on_ACC_Z numeric
@attribute class {idle, shake}

@data
0, 2.98023e-06, 0, idle
0, 9.53674e-07, 0, idle
9.53674e-07, 2.20537e-06, 0, idle
9.53674e-07, 2.20537e-06, 0, idle
1.90735e-06, 8.34465e-07, 0, idle
0, 3.39746e-06, 0, idle
3.8147e-06, 8.34465e-07, 0, idle
0, 4.76837e-07, 0, idle
0, 2.68221e-06, 0, idle
3.8147e-06, 4.76837e-07, 0, idle
9.53674e-07, 1.84774e-06, 0, idle
0, 3.39746e-06, 0, idle
2.86102e-06, 5.96046e-07, 0, idle
2.86102e-06, 5.96046e-08, 0, idle
1.90735e-06, 2.98023e-07, 0, idle
9.53674e-07, 1.72853e-06, 0, idle
9.53674e-07, 2.44379e-06, 0, idle
2.86102e-06, 8.34465e-07, 0, idle
0, 1.13249e-06, 0, idle
0, 2.08616e-06, 0, idle
0, 1.96695e-06, 0, idle
0, 1.66893e-06, 0, idle
0, 1.72853e-06, 0, idle
0, 6.55651e-07, 0, idle
0, 5.36442e-07, 0, idle
9.53674e-07, 1.19209e-06, 0, idle
0, 3.21865e-06, 0, idle
0, 2.563e-06, 0, idle
0, 1.78814e-06, 0, idle
0, 1.90735e-06, 0, idle
0, 1.01328e-06, 0, idle
0, 1.43051e-06, 0, idle
0, 2.32458e-06, 0, idle
9.53674e-07, 8.9407e-07, 0, idle
9.53674e-07, 1.96695e-06, 0, idle
0, 2.74181e-06, 0, idle
9.53674e-07, 1.07288e-06, 0, idle
9.53674e-07, 1.13249e-06, 0, idle
0, 1.84774e-06, 0, idle
9.53674e-07, 8.9407e-07, 0, idle
0, 1.90735e-06, 0, idle
0, 1.2517e-06, 0, idle
0, 1.07288e-06, 0, idle
2.86102e-06, 2.38419e-07, 0, idle
0, 1.72853e-06, 0, idle
9.53674e-07, 1.43051e-06, 0, idle
9.53674e-07, 2.98023e-07, 0, idle
1.90735e-06, 1.13249e-06, 0, idle
0, 1.37091e-06, 0, idle
2.86102e-06, 7.15256e-07, 0, idle
0, 2.20537e-06, 0, idle
1.90735e-06, 6.55651e-07, 0, idle
0, 2.02656e-06, 0, idle
2.86102e-06, 1.54972e-06, 0, idle
1.90735e-06, 5.96046e-08, 0, idle
0, 6.55651e-07, 0, idle
9.53674e-07, 9.53674e-07, 0, idle
0, 3.33786e-06, 0, idle
0, 3.09944e-06, 0, idle
0, 2.44379e-06, 0, idle
0, 5.96046e-07, 0, idle
2.86102e-06, 5.96046e-07, 0, idle
0, 2.14577e-06, 0, idle
9.53674e-07, 5.96046e-07, 0, idle
0, 1.54972e-06, 0, idle
0, 1.3113e-06, 0, idle
0, 1.19209e-06, 0, idle
0, 2.02656e-06, 0, idle
1.90735e-06, 1.66893e-06, 0, idle
9.53674e-07, 1.07288e-06, 0, idle
1.90735e-06, 1.19209e-06, 0, idle
