@relation 'MLC'

@attribute F1_ABS_VAR_on_ACC_X numeric
@attribute F2_ABS_VAR_on_ACC_Y numeric
@attribute class {idle, shake}

@data
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
7.15256e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
7.15256e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
7.15256e-07, 1.19209e-07, idle
0, 1.19209e-07, idle
0, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
0, 0, idle
4.76837e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
0, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
0, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
7.15256e-07, 5.96046e-08, idle
7.15256e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
7.15256e-07, 0, idle
0, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
0, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 2.38419e-07, idle
4.76837e-07, 2.38419e-07, idle
2.38419e-07, 0, idle
0, 2.38419e-07, idle
0, 5.96046e-08, idle
4.76837e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
0, 5.96046e-08, idle
7.15256e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
4.76837e-07, 5.96046e-08, idle
0, 5.96046e-08, idle
4.76837e-07, 5.96046e-08, idle
2.38419e-07, 0, idle
2.38419e-07, 0, idle
2.38419e-07, 1.37091e-06, idle
2.38419e-07, 2.98023e-07, idle
2.38419e-07, 0, idle
0, 1.78814e-07, idle
2.38419e-07, 0, idle
0, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 0, idle
4.76837e-07, 5.96046e-08, idle
0, 0, idle
4.76837e-07, 1.78814e-07, idle
4.76837e-07, 0, idle
4.76837e-07, 0, idle
7.15256e-07, 1.78814e-07, idle
7.15256e-07, 0, idle
4.76837e-07, 0, idle
2.38419e-07, 0, idle
2.38419e-07, 0, idle
4.76837e-07, 0, idle
4.76837e-07, 0, idle
7.15256e-07, 0, idle
0, 0, idle
4.76837e-07, 0, idle
2.38419e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
0, 5.96046e-08, idle
4.76837e-07, 5.96046e-08, idle
7.15256e-07, 0, idle
4.76837e-07, 0, idle
0, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
7.15256e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 5.96046e-08, idle
0, 0, idle
0, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
7.15256e-07, 1.19209e-07, idle
4.76837e-07, 5.96046e-08, idle
0, 0, idle
0, 5.96046e-08, idle
2.38419e-07, 5.96046e-08, idle
7.15256e-07, 0, idle
4.76837e-07, 5.96046e-08, idle
0, 1.19209e-07, idle
4.76837e-07, 2.38419e-07, idle
2.38419e-07, 1.19209e-07, idle
0, 5.96046e-08, idle
4.76837e-07, 2.38419e-07, idle
2.38419e-07, 1.19209e-07, idle
7.15256e-07, 5.96046e-08, idle
4.76837e-07, 1.19209e-07, idle
9.53674e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
0, 1.19209e-07, idle
2.38419e-07, 0, idle
7.15256e-07, 1.19209e-07, idle
0, 0, idle
0, 5.96046e-08, idle
4.76837e-07, 0, idle
2.38419e-07, 1.19209e-07, idle
9.53674e-07, 0, idle
2.38419e-07, 5.96046e-08, idle
7.15256e-07, 5.96046e-08, idle
2.38419e-07, 0, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 5.96046e-08, idle
0, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
4.76837e-07, 5.96046e-08, idle
7.15256e-07, 0, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
4.76837e-07, 5.96046e-08, idle
0, 1.19209e-07, idle
0, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
0, 0, idle
2.38419e-07, 0, idle
0, 1.19209e-07, idle
2.38419e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
7.15256e-07, 1.19209e-07, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 5.96046e-08, idle
2.38419e-07, 0, idle
7.15256e-07, 5.96046e-08, idle
4.76837e-07, 5.96046e-08, idle
2.38419e-07, 1.19209e-07, idle
4.76837e-07, 1.19209e-07, idle
2.38419e-07, 0, idle
0.000873566, 0.0130386, shake
0.00048542, 0.0169525, shake
0.000286341, 0.0151367, shake
0.00065136, 0.0142212, shake
0.0007267, 0.0192566, shake
0.000249386, 0.0120392, shake
0.000363588, 0.00977325, shake
0.00078392, 0.0105438, shake
0.000436783, 0.00455475, shake
0.000200748, 0.0019207, shake
0.000783443, 0.00498962, shake
0.000168324, 0.00102425, shake
0.00123501, 0.00450897, shake
0.000895977, 0.00125313, shake
0.00152493, 0.00166702, shake
0.0021801, 0.00331497, shake
0.000550747, 0.00310516, shake
0.0011301, 0.00286293, shake
0.000208616, 0.000362158, shake
0.000169754, 0.00226402, shake
0.000473022, 0.00328827, shake
0.000280142, 0.000721931, shake
0.000536442, 0.000424623, shake
0.002388, 0.000869751, shake
0.00139427, 0.00377083, shake
0.000959396, 0.0027504, shake
0.000206232, 0.00142479, shake
8.67844e-05, 0.00153923, shake
0.000125408, 0.00186157, shake
6.58035e-05, 0.00329781, shake
0.000107288, 0.0011816, shake
0.000226498, 0.00404358, shake
0.000414371, 0.00372124, shake
0.000385284, 0.00724411, shake
0.000496387, 0.00198364, shake
1.16825e-05, 0.00139236, shake
0.000355005, 0.00197983, shake
0.000299692, 0.00504684, shake
0.00336266, 0.0379333, shake
0.00266266, 0.0337524, shake
5.91278e-05, 0.00263214, shake
0.000899792, 0.00399399, shake
0.000722408, 0.00400925, shake
0.000284195, 0.0043335, shake
6.74725e-05, 0.00108528, shake
0.00128174, 0.022522, shake
0.000313759, 0.0069046, shake
0.000386953, 0.00699997, shake
0.000289679, 0.0100937, shake
0.00117111, 0.00391006, shake
0.000442266, 0.0045929, shake
0.000224113, 0.00370407, shake
3.57628e-05, 0.0038414, shake
0.000275373, 0.00484467, shake
0.000154257, 0.00753403, shake
0.000261784, 0.00796509, shake
0.00028348, 0.00376892, shake
0.000463963, 0.00653839, shake
0.000322104, 0.00514603, shake
0.000247002, 0.00743103, shake
0.000243664, 0.0091095, shake
0.000665188, 0.0131989, shake
0.000186443, 0.00526047, shake
0.000260115, 0.00846863, shake
0.000555515, 0.0129929, shake
0.000412464, 0.00665283, shake
0.000219345, 0.00814056, shake
0.000437498, 0.00653458, shake
0.000122547, 0.00337791, shake
0.000835419, 0.00765991, shake
0.000217676, 0.00426102, shake
0.000119209, 0.00267601, shake
0.000244856, 0.00828552, shake
0.000803947, 0.0166779, shake
0.000284672, 0.0045929, shake
0.000293732, 0.00724792, shake
0.000462294, 0.00694275, shake
0.000133991, 0.00440979, shake
0.000392914, 0.00811768, shake
